Net,Size,IoU,Dice
R18+LA-Net,256,0.439,0.541
R18+LA-Net,256,0.428,0.527
R18+LA-Net,256,0.42,0.523
R18+LA-Net,512,0.579,0.702
R18+LA-Net,512,0.603,0.725
R18+LA-Net,512,0.596,0.721
R50+LA-Net,256,0.438,0.541
R50+LA-Net,256,0.432,0.537
R50+LA-Net,256,0.445,0.551
R50+LA-Net,512,0.564,0.681
R50+LA-Net,512,0.565,0.683
R50+LA-Net,512,0.576,0.696
R18+LA-Net (no CAM),256,0.411,0.51
R18+LA-Net (no CAM),256,0.42,0.523
R18+LA-Net (no CAM),256,0.432,0.539
R18+LA-Net (no CAM),512,0.584,0.704
R18+LA-Net (no CAM),512,0.567,0.686
R18+LA-Net (no CAM),512,0.574,0.687
R50+LA-Net (no CAM),256,0.405,0.516
R50+LA-Net (no CAM),256,0.423,0.529
R50+LA-Net (no CAM),256,0.407,0.517
R50+LA-Net (no CAM),512,0.536,0.649
R50+LA-Net (no CAM),512,0.522,0.641
R50+LA-Net (no CAM),512,0.535,0.643
R18+LA-Net (no SAM),256,0.42,0.54
R18+LA-Net (no SAM),256,0.44,0.55
R18+LA-Net (no SAM),256,0.413,0.51
R18+LA-Net (no SAM),512,0.583,0.704
R18+LA-Net (no SAM),512,0.576,0.698
R18+LA-Net (no SAM),512,0.586,0.706
R50+LA-Net (no SAM),256,0.415,0.514
R50+LA-Net (no SAM),256,0.417,0.517
R50+LA-Net (no SAM),256,0.406,0.513
R50+LA-Net (no SAM),512,0.535,0.653
R50+LA-Net (no SAM),512,0.514,0.631
R50+LA-Net (no SAM),512,0.506,0.626
R18+LA-Net (no MAM),256,0.403,0.526
R18+LA-Net (no MAM),256,0.424,0.533
R18+LA-Net (no MAM),256,0.412,0.524
R18+LA-Net (no MAM),512,0.546,0.672
R18+LA-Net (no MAM),512,0.571,0.685
R18+LA-Net (no MAM),512,0.558,0.669
R50+LA-Net (no MAM),256,0.42,0.538
R50+LA-Net (no MAM),256,0.422,0.528
R50+LA-Net (no MAM),256,0.414,0.519
R50+LA-Net (no MAM),512,0.538,0.659
R50+LA-Net (no MAM),512,0.56,0.685
R50+LA-Net (no MAM),512,0.561,0.683