Net,DataSize,Size,Precision,Recall,Specificity,F1-Score,AUC,Accuracy
R50 (1),1,256,94.1,93.9,93.9,93.9,96.8,93.9
R50 (1),1,256,94.1,93.9,93.9,93.9,96.8,93.9
R50 (1),1,256,93.9,93.9,93.9,93.9,96.5,93.9
R50 (1),1,512,93.9,93.9,93.9,93.9,97.8,93.9
R50 (1),1,512,94,93.9,93.9,93.9,97.6,93.9
R50 (1),1,512,93.9,93.9,93.9,93.9,97.6,93.9
R18 (1),1,256,91,89,89,88.9,96.9,89
R18 (1),1,256,90.2,89,89,88.9,96.6,89
R18 (1),1,256,88.6,87.8,87.8,87.7,95.9,87.8
R18 (1),1,512,93.1,92.7,92.7,92.7,97.2,92.7
R18 (1),1,512,92.1,91.5,91.5,91.4,96.5,91.5
R18 (1),1,512,91.7,91.5,91.5,91.5,96.4,91.5
R50 (0.75),0.75,256,91.7,91.5,91.5,91.5,96.4,91.5
R50 (0.75),0.75,256,90.6,90.2,90.2,90.2,96.3,90.2
R50 (0.75),0.75,256,90.3,90.2,90.2,90.2,94.5,90.2
R18 (0.75),0.75,256,91,89,89,88.9,95,89
R18 (0.75),0.75,256,91.8,90.2,90.2,90.2,94.8,87.8
R18 (0.75),0.75,256,90.2,89,89,88.9,93.4,89
R50 (0.5),0.5,256,91.1,90.2,90.2,90.2,92.5,90.2
R50 (0.5),0.5,256,89.2,89,89,89,92.8,89
R50 (0.5),0.5,256,87.9,87.8,87.8,87.8,91.5,87.8
R18 (0.5),0.5,256,87.7,86.6,86.6,86.5,92,86.6
R18 (0.5),0.5,256,84.7,84.1,84.1,84.1,90,84.1
R18 (0.5),0.5,256,86.8,85.4,85.4,85.2,89.9,85.4
R50 (0.25),0.25,256,87.1,86.6,86.6,86.5,91.3,86.6
R50 (0.25),0.25,256,84.3,84.1,84.1,84.1,90.4,84.1
R50 (0.25),0.25,256,82.9,82.9,82.9,82.9,90.5,82.9
R18 (0.25),0.25,256,83.6,82.9,82.9,82.8,88.7,82.9
R18 (0.25),0.25,256,84.3,84.1,84.1,84.1,90.1,84.1
R18 (0.25),0.25,256,83.2,82.9,82.9,82.9,87.4,82.9
R50+LA-Net (0.25),0.25,256,93.1,92.7,92.7,92.7,97.3,92.7
R50+LA-Net (0.25),0.25,256,94.1,93.9,93.9,93.9,97.6,93.9
R50+LA-Net (0.25),0.25,256,92.8,92.7,92.7,92.7,97.2,92.7
R50+LA-Net (0.25),0.25,512,94.1,93.9,93.9,93.9,96.5,93.9
R50+LA-Net (0.25),0.25,512,93.9,93.9,93.9,93.9,96.3,93.9
R50+LA-Net (0.25),0.25,512,94.1,93.9,93.9,93.9,96.4,93.9
R18+LA-Net (0.25),0.25,256,95.6,95.1,95.1,95.1,97.4,95.1
R18+LA-Net (0.25),0.25,256,95.2,95.1,95.1,95.1,97.2,95.1
R18+LA-Net (0.25),0.25,256,96.6,96.3,96.3,96.3,98,96.3
R18+LA-Net (0.25),0.25,512,95.6,95.1,95.1,95.1,97.2,95.1
R18+LA-Net (0.25),0.25,512,94.1,93.9,93.9,94.1,96.7,3.9
R18+LA-Net (0.25),0.25,512,94.6,93.9,93.9,93.9,96.6,93.9
R50+LA-Net (0.5),0.5,256,93.6,92.7,92.7,92.6,98.3,92.7
R50+LA-Net (0.5),0.5,256,94.6,93.9,93.9,93.9,98.6,93.9
R50+LA-Net (0.5),0.5,256,93.1,92.7,92.7,92.7,98.1,92.7
R50+LA-Net (0.5),0.5,512,95.6,95.1,95.1,95.1,97.6,95.1
R50+LA-Net (0.5),0.5,512,95.2,95.1,95.1,95.1,97.5,95.1
R50+LA-Net (0.5),0.5,512,95.6,95.1,95.1,95.1,97.8,95.1
R18+LA-Net (0.5),0.5,256,96.6,96.3,96.3,96.3,98.2,96.3
R18+LA-Net (0.5),0.5,256,96.6,96.3,96.3,96.3,98.1,96.3
R18+LA-Net (0.5),0.5,256,96.4,96.3,96.3,96.3,98,96.3
R18+LA-Net (0.5),0.5,512,92.7,91.5,91.5,91.4,97.2,91.5
R18+LA-Net (0.5),0.5,512,93.6,92.7,92.7,92.6,97.5,92.7
R18+LA-Net (0.5),0.5,512,93.1,92.7,92.7,92.7,97.6,92.7
R50+LA-Net (0.75),0.75,256,95.1,95.1,95.1,95.1,98,95.1
R50+LA-Net (0.75),0.75,256,95.1,95.1,95.1,95.1,98,95.1
R50+LA-Net (0.75),0.75,256,95.2,95.1,95.1,95.1,97.9,95.1
R50+LA-Net (0.75),0.75,512,94.6,93.9,93.9,93.9,96.1,93.9
R50+LA-Net (0.75),0.75,512,95.6,95.1,95.1,95.1,96.7,95.1
R50+LA-Net (0.75),0.75,512,96.6,96.3,96.3,96.3,97,96.3
R18+LA-Net (0.75),0.75,256,95.6,95.1,95.1,95.1,98,95.1
R18+LA-Net (0.75),0.75,256,96.6,96.3,96.3,96.3,98.3,96.3
R18+LA-Net (0.75),0.75,256,96.6,96.3,96.3,96.3,98.2,96.3
R18+LA-Net (0.75),0.75,512,93.6,92.7,92.7,92.6,97.8,92.7
R18+LA-Net (0.75),0.75,512,93.1,92.7,92.7,92.7,97.7,92.7
R18+LA-Net (0.75),0.75,512,94.6,93.9,93.9,93.9,98,93.9
R50+LA-Net (1),1,256,96.4,96.4,96.4,96.4,99.1,96.4
R50+LA-Net (1),1,256,96.4,96.4,96.4,96.4,98.8,96.4
R50+LA-Net (1),1,256,96.6,96.4,96.4,96.4,99,96.4
R50+LA-Net (1),1,512,94,93.9,93.9,93.9,96.1,93.9
R50+LA-Net (1),1,512,95.1,95.1,95.1,95.1,96.9,95.1
R50+LA-Net (1),1,512,95.2,95.1,95.1,95.1,97.1,95.1
R18+LA-Net (1),1,256,95.6,95.1,95.1,95.1,98,95.1
R18+LA-Net (1),1,256,95.2,95.2,95.2,95.1,97.7,95.2
R18+LA-Net (1),1,256,95.6,95.1,95.1,95.1,98.1,95.1
R18+LA-Net (1),1,512,95.6,95.1,95.1,95.1,98,95.1
R18+LA-Net (1),1,512,95.2,95.1,95.1,95.1,98.2,95.1
R18+LA-Net (1),1,512,95.2,95.2,95.2,95.1,98,95.2
R50+RMTL (1),1,256,96.6,96.3,96.3,96.3,98.3,96.3
R50+RMTL (1),1,256,95.6,95.1,95.1,95.1,98.1,95.1
R50+RMTL (1),1,256,95.6,95.1,95.1,95.1,97.9,95.1
R50+RMTL (0.75),0.75,256,91.7,91.5,91.5,91.5,96.4,91.5
R50+RMTL (0.75),0.75,256,89.6,89,89,89,95.4,89
R50+RMTL (0.75),0.75,256,90.2,89,89,88.9,95.2,89
R50+RMTL (0.5),0.5,256,91.1,90.2,90.2,90.2,94.2,90.2
R50+RMTL (0.5),0.5,256,90.2,89,89,88.9,92.3,89
R50+RMTL (0.5),0.5,256,88.4,86.6,86.6,86.4,91.4,86.6
R50+RMTL (0.25),0.25,256,87.1,86.6,86.6,86.5,90.4,86.6
R50+RMTL (0.25),0.25,256,82.9,82.9,82.9,82.9,89.9,82.9
R50+RMTL (0.25),0.25,256,85,82.9,82.9,82.7,89.3,82.9
R18+RMTL (1),1,256,94.6,93.9,93.9,93.9,96.9,93.9
R18+RMTL (1),1,256,93.1,92.7,92.7,92.7,96,92.7
R18+RMTL (1),1,256,94.1,93.9,93.9,93.9,96.6,93.9
R18+RMTL (0.75),0.75,256,94.1,93.9,93.9,93.9,95.5,93.9
R18+RMTL (0.75),0.75,256,92.7,91.5,91.5,91.4,95.1,91.5
R18+RMTL (0.75),0.75,256,90.2,89,89,88.9,94.6,89
R18+RMTL (0.5),0.5,256,91.5,91.5,91.5,91.5,94.5,91.5
R18+RMTL (0.5),0.5,256,91.1,90.2,90.2,90.2,93.1,90.2
R18+RMTL (0.5),0.5,256,89.6,89,89,89,93.8,89
R18+RMTL (0.25),0.25,256,88.2,87.8,87.8,87.8,93.5,87.8
R18+RMTL (0.25),0.25,256,84.3,84.1,84.1,84.1,92.5,84.1
R18+RMTL (0.25),0.25,256,85.5,85.4,85.4,85.4,90.3,85.4
R50+RMTL (1),1,512,93.9,93.9,93.9,93.9,96.9,93.9
R50+RMTL (1),1,512,92.8,92.7,92.7,92.7,96,92.7
R50+RMTL (1),1,512,92.7,92.7,92.7,92.7,96.1,92.7
R18+RMTL (1),1,512,93.6,92.7,92.7,92.6,97.1,92.7
R18+RMTL (1),1,512,92.1,91.5,91.5,91.4,96.3,91.5
R18+RMTL (1),1,512,93.6,92.7,92.7,92.6,96.9,92.7
EB0 (1),1,256,91.7,91.5,91.5,91.5,96,91.5
EB0 (1),1,256,92.8,92.7,92.7,92.7,96.4,92.7
EB0 (1),1,256,91.5,91.5,91.5,91.5,95.8,91.5
EB0 (0.75),0.75,256,90.6,90.2,90.2,90.2,95.8,90.2
EB0 (0.75),0.75,256,88.6,87.8,87.8,87.7,95.5,87.8
EB0 (0.75),0.75,256,88.4,86.6,86.6,86.4,95.4,86.6
EB0 (0.5),0.5,256,87.7,86.6,86.6,86.5,93.6,86.6
EB0 (0.5),0.5,256,84.2,82.9,82.9,82.8,93.7,82.9
EB0 (0.5),0.5,256,88.6,87.8,87.8,87.7,94.5,87.8
EB0 (0.25),0.25,256,83.6,82.9,82.9,82.8,88.4,82.9
EB0 (0.25),0.25,256,83.6,82.9,82.9,82.8,91.2,82.9
EB0 (0.25),0.25,256,81.7,81.7,81.7,81.6,89.9,81.7