Net,Precision,Recall,Specificity,F1-Score,AUC,Accuracy,IoU,Dice
R50+LA-Net-256,96.4,96.3,96.3,96.3,99.1,96.3,43.8,54.1
R50+LA-Net-256,96.4,96.5,96.5,96.5,98.8,96.5,43.2,53.7
R50+LA-Net-256,96.6,96.4,96.4,96.4,99,96.4,44.5,55.1
R50+LA-Net-512,94,93.9,93.9,93.9,96.1,93.9,56.4,68.1
R50+LA-Net-512,95.1,95.1,95.1,95.1,96.9,95.1,56.5,68.3
R50+LA-Net-512,95.2,95.1,95.1,95.1,97.1,95.1,57.6,69.6
R18+LA-Net-256,95.6,95.1,95.1,95.0,98,95.1,43.9,54.1
R18+LA-Net-256,95.2,95.2,95.2,95.2,97.7,95.2,42.8,52.7
R18+LA-Net-256,95.6,95.1,95.1,95.1,98.1,95.1,42,52.3
R18+LA-Net-512,95.6,95.1,95.1,95.0,98,95.1,57.9,70.2
R18+LA-Net-512,95.2,95.1,95.1,95.2,98.2,95.1,60.3,72.5
R18+LA-Net-512,95.2,95.2,95.2,95.1,98,95.2,59.6,72.1