Net,Size,IoU,Dice
R18+LA-Net,256,0.458,0.597
R18+LA-Net,256,0.45,0.576
R18+LA-Net,256,0.44,0.568
R18+LA-Net,512,0.551,0.682
R18+LA-Net,512,0.559,0.685
R18+LA-Net,512,0.532,0.661
R50+LA-Net,256,0.419,0.551
R50+LA-Net,256,0.391,0.519
R50+LA-Net,256,0.409,0.532
R50+LA-Net,512,0.55,0.681
R50+LA-Net,512,0.532,0.661
R50+LA-Net,512,0.527,0.696
R18+RMTL,256,0.365,0.511
R18+RMTL,256,0.391,0.525
R18+RMTL,256,0.376,0.519
R50+RMTL,256,0.361,0.496
R50+RMTL,256,0.405,0.542
R50+RMTL,256,0.382,0.514
R18+RMTL,512,0.424,0.571
R18+RMTL,512,0.446,0.586
R18+RMTL,512,0.429,0.568
R50+RMTL,512,0.411,0.553
R50+RMTL,512,0.407,0.545
R50+RMTL,512,0.411,0.554
UNet,256,0.444,0.551
UNet,256,0.439,0.545
UNet,256,0.454,0.552
DeepLabV3,256,0.436,0.551
DeepLabV3,256,0.44,0.559
DeepLabV3,256,0.446,0.567
AGN,256,0.432,0.536
AGN,256,0.451,0.553
AGN,256,0.442,0.54